"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"170",41065,2015,"Oregon","Wasco",7759.41,14.2,NA,184.48012,NA,13.4,13.8,1026,14508,88.03395,"3.7814870326999999",15.01776
"171",41067,2015,"Oregon","Washington",4376.57,10.8,NA,209.01052,NA,11.9,15.2,18232,290330,159.56166,"4.2065033783999999",17.936
"172",41069,2015,"Oregon","Wheeler",NA,NA,NA,144.82259,NA,NA,NA,48,679,NA,"4.6579159392999996",15.83333
"173",41071,2015,"Oregon","Yamhill",6082.17,13.7,NA,248.20055,NA,17.1,13.9,3519,47407,124.60353,"4.1833819241999999",18.56234
"174",6000,2015,"California","state_year",5295.43,18.4,NA,257.43154,NA,12.9,17.2,1663498,18596822,424.52858,"5.0850465001999998",28.5046
"175",6001,2015,"California","Alameda",4886.73,14.5,NA,452.78616,NA,10.6,19.4,58050,783065,723.49198,"5.3771652965000003",25.45882
"176",6003,2015,"California","Alpine",NA,NA,NA,690.25022,NA,NA,NA,49,428,719.21749,"5.5934612651000002",21.12676
"177",6005,2015,"California","Amador",6601.66,17.5,NA,142.39163,NA,21.2,17.8,1582,16036,294.07926,"4.3898180561000002",19.77599
"178",6007,2015,"California","Butte",7649.95,17.3,NA,419.64969,NA,19.2,20.4,10409,103719,304.10817,"4.8034201954000002",23.22225
"179",6009,2015,"California","Calaveras",7101.19,21.4,NA,121.30742,NA,19.1,23.9,2009,19264,228.92638,"4.4352682348999997",19.45402
"180",6011,2015,"California","Colusa",5942.57,NA,NA,154.50885,NA,NA,NA,2130,11553,215.91943,"3.7350916046",21.67382
"181",6013,2015,"California","Contra Costa",5040.11,13.8,NA,283.4935,NA,11.6,18.4,39825,538888,396.59625,"4.8172978979999996",23.78109
"182",6015,2015,"California","Del Norte",9082.35,15.9,NA,340.83163,NA,20.3,NA,1284,11103,492.59375,"5.7950323380000004",24.18534
"183",6017,2015,"California","El Dorado",5096.16,9.7,NA,235.50515,NA,14.3,20.9,7606,89348,241.19475,"4.4758177336999996",21.21058
"184",6019,2015,"California","Fresno",6784.17,23.4,NA,236.1631,NA,13.9,17.5,57716,448138,543.05331,"5.0275273405999998",28.80073
"185",6021,2015,"California","Glenn",6947.15,28.3,NA,110.95204,NA,15,17,1562,12805,254.22532,"5.2317155756",19.9262
"186",6023,2015,"California","Humboldt",8140.31,12,NA,337.56404,NA,18.6,22,5138,58414,333.79215,"4.7222985348000002",25.29549
"187",6025,2015,"California","Imperial",5337.91,29,NA,93.43995,NA,12.4,15.8,19652,80249,303.97915,"5.6238951921",28.56697
"188",6027,2015,"California","Inyo",5835.7,NA,NA,303.24362,NA,NA,NA,738,9065,393.14498,"4.7232390459999998",20.41719
"189",6029,2015,"California","Kern",7312.58,23.7,NA,135.16579,NA,16,15.7,46350,394230,561.13979,"4.973493854",27.0259
"190",6031,2015,"California","Kings",6324.27,26.9,NA,138.44727,NA,12.5,14.7,8117,60027,397.88056,"4.4164447403000002",23.73818
"191",6033,2015,"California","Lake",10269.47,20.4,NA,300.65769,NA,24.5,20.7,3180,26752,512.28405,"4.9447629968999998",26.40811
"192",6035,2015,"California","Lassen",6820.78,18.2,NA,264.27883,NA,18.1,20.5,1348,12475,353.33327,"4.2734392890999997",21.69391
"193",6037,2015,"California","Los Angeles",5066.17,22.4,NA,245.36122,NA,12.3,15.4,489618,4960326,473.90485,"5.2926142811999997",34.61653
"194",6039,2015,"California","Madera",6702.86,31.1,NA,118.11876,NA,13.8,15,7891,69413,521.3532,"4.3096109398999998",27.09969
"195",6041,2015,"California","Marin",3500.61,9.7,NA,614.24729,NA,9.7,22,7157,141894,202.69714,"5.53801641",23.62151
"196",6043,2015,"California","Mariposa",7094.09,16.5,NA,208.392,NA,20.4,18,856,9256,295.94931,"4.9804302360000001",18.2117
"197",6045,2015,"California","Mendocino",7323,16,NA,415.1757,NA,18.2,24.1,3371,43497,501.35808,"4.9219335139",27.9912
"198",6047,2015,"California","Merced",6580.91,23,NA,105.61186,NA,11.7,14.2,16534,112650,603.68052,"4.5675161256000001",28.43548
"199",6049,2015,"California","Modoc",9307.35,NA,NA,185.85329,NA,NA,NA,437,3743,439.99862,"4.7568405691000004",21.29278
"200",6051,2015,"California","Mono",3448.89,NA,NA,170.52721,NA,NA,25.9,709,8209,353.38154,"3.2662904564000002",25.76177
"201",6053,2015,"California","Monterey",4991.47,24,NA,232.02884,NA,12.5,15.4,22449,221569,464.30727,"4.4657449363000001",30.39971
"202",6055,2015,"California","Napa",4739.49,16.7,NA,395.5076,NA,8.5,23.7,4896,78320,383.62955,"4.3095785440999999",25.43312
"203",6057,2015,"California","Nevada",5871.83,9.2,NA,454.17515,NA,14.1,17.1,3856,49761,275.64006,"4.4777360623",24.49471
