"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"301",301,41055,2016,"Oregon","Sherman",NA,NA,NA,NA,315.7,53277
"302",302,41057,2016,"Oregon","Tillamook",17.117425539,13,75.528700906,NA,321.8,41662
"303",303,41059,2016,"Oregon","Umatilla",5.6461595257,13,54.579059007,5.5960437272,338.6,44780
"304",304,41061,2016,"Oregon","Union",16.860781821,13,NA,NA,327.3,44841
"305",305,41063,2016,"Oregon","Wallowa",NA,NA,NA,NA,303.8,39743
"306",306,41065,2016,"Oregon","Wasco",NA,NA,82.108902334,NA,369.1,44010
"307",307,41067,2016,"Oregon","Washington",9.1855149832,153,41.946846568,4.2647982788,227.4,66315
"308",308,41069,2016,"Oregon","Wheeler",NA,NA,NA,NA,271.7,33387
"309",309,41071,2016,"Oregon","Yamhill",10.239877386,31,41.954893373,5.7182868479,293.6,52903
"310",310,6000,2016,"California","year_state_total",11.298316528,13013,40.379043295,4.9025834434,272.5,61927
"311",311,6001,2016,"California","Alameda",9.969371057,473,38.077196583,4.3670278813,256.3,76996
"312",312,6003,2016,"California","Alpine",NA,NA,NA,NA,NA,53003
"313",313,6005,2016,"California","Amador",27.199535795,30,NA,NA,305.3,54610
"314",314,6007,2016,"California","Butte",30.24540704,202,47.861367075,5.6432108718,375.6,42302
"315",315,6009,2016,"California","Calaveras",19.4202314,26,44.281750015,NA,331.3,53321
"316",316,6011,2016,"California","Colusa",NA,NA,59.741914928,NA,312.6,48006
"317",317,6013,2016,"California","Contra Costa",11.841196466,389,35.342917539,4.5097973389,247.1,80338
"318",318,6015,2016,"California","Del Norte",16.791604198,14,58.08887598,NA,428.3,41419
"319",319,6017,2016,"California","El Dorado",21.086021801,115,27.032124222,3.9244542556,256.1,70235
"320",320,6019,2016,"California","Fresno",10.351530301,297,58.908493076,6.6002318299,339.3,43338
"321",321,6021,2016,"California","Glenn",20.265356968,17,64.634973984,NA,349.2,43755
"322",322,6023,2016,"California","Humboldt",32.662837856,132,58.371070544,6.4290962528,407.3,40581
"323",323,6025,2016,"California","Imperial",14.26900453,76,39.762407344,4.0674557836,284.2,38737
"324",324,6027,2016,"California","Inyo",27.08950372,15,NA,NA,308.6,49267
"325",325,6029,2016,"California","Kern",21.31127135,553,54.269033345,6.4805631253,384.9,47451
"326",326,6031,2016,"California","Kings",12.152198554,55,51.581843191,5.861086766,337.9,44490
